user_id,age_tier,subscription_type,movie_title,release_year,genre_tags,watch_duration_mins,user_rating_100,review_snippet
113,35-49,Basic,La La Land,2022,Romance; romantic-comedy|,125,85,Absolutely cracking performance from the lead.
705,18-24,Standard,Interstellar,2020,"SciFi| futuristic, space ",112,65,"It was alright, nothing special."
2340,25-34,Basic,Terminator 2,2024,Action| Thriller; explosion-heavy,89,95,Absolutely superb performance from the lead.
198,35-49,Standard,The Hangover,2016,"Comedy, lighthearted | family",54,90,"Really spot-on film, highly recommend giving it a watch."
1405,35-49,Basic,My Octopus Teacher,2017,"Documentary| real-world, informative",114,51,"Not bad, but wouldn't watch it twice."
1789,35-49,Basic,Spider-Man: Into the Spider-Verse,2015,"Animation, kids, family ",58,59,"Not bad, but wouldn't watch it twice."
253,25-34,Basic,Knives Out,2025,"Comedy, lighthearted | family",109,73,"Really fantastic film, highly recommend giving it a watch."
348,25-34,Standard,Blade Runner 2049,2012,"SciFi| futuristic, space ",81,47,Fairly average film.
2077,35-49,Standard,My Octopus Teacher,2017,"Documentary| real-world, informative",71,45,"Not bad, but wouldn't watch it twice."
1572,18-24,Standard,Arrival,2019,"SciFi| futuristic, space ",81,67,"It was alright, nothing special."
922,35-49,Basic,The Godfather,2020,"Drama ; emotional, critically-acclaimed",77,81,Absolutely superb performance from the lead.
709,18-24,Standard,Hereditary,2016,"Horror; terrifying, suspense",138,84,Properly nightmare jumping out of my seat.
1127,35-49,Standard,The Matrix,2021,"SciFi| futuristic, space ",78,73,"Really smashing film, highly recommend giving it a watch."
1323,35-49,Basic,The Shawshank Redemption,2018,"Drama ; emotional, critically-acclaimed",79,87,Thought it was smashing overall.
1639,18-24,Standard,Spider-Man: Into the Spider-Verse,2015,"Animation, kids, family ",105,79,Absolutely smashing performance from the lead.
2308,35-49,Standard,Terminator 2,2024,Action| Thriller; explosion-heavy,90,76,"Really smashing film, highly recommend giving it a watch."
324,35-49,Basic,Anchorman,2016,"Comedy, lighthearted | family",106,48,"It was alright, nothing special."
2054,35-49,Standard,Whiplash,2016,"Drama ; emotional, critically-acclaimed",68,72,"Really lovely film, highly recommend giving it a watch."
308,35-49,Basic,Dune,2015,"SciFi| futuristic, space ",91,64,"Not bad, but wouldn't watch it twice."
1455,35-49,Basic,The Act of Killing,2024,"Documentary| real-world, informative",127,75,"Really superb film, highly recommend giving it a watch."
1300,50+,Basic,My Octopus Teacher,2017,"Documentary| real-world, informative",89,37,What a dreadful waste of an evening.
98,25-34,Basic,Parasite,2018,"Drama ; emotional, critically-acclaimed",130,73,Absolutely superb performance from the lead.
464,35-49,Basic,Spider-Man: Into the Spider-Verse,2015,"Animation, kids, family ",105,70,"Not bad, but wouldn't watch it twice."
209,25-34,Premium,Hereditary,2016,"Horror; terrifying, suspense",113,63,"Not genuinely scary at all, bits of it were just shocking"
2204,35-49,Standard,Step Brothers,2024,"Comedy, lighthearted | family",144,63,"Not bad, but wouldn't watch it twice."
1513,35-49,Standard,Parasite,2018,"Drama ; emotional, critically-acclaimed",98,68,"It was alright, nothing special."
793,18-24,Premium,Alien,2017,"Horror; terrifying, suspense",216,71,"Not genuinely scary at all, bits of it were just poor"
1974,25-34,Standard,Dune,2015,"SciFi| futuristic, space ",96,82,Absolutely cracking performance from the lead.
797,35-49,Basic,Superbad,2011,"Comedy, lighthearted | family",127,74,Absolutely fantastic performance from the lead.
1482,18-24,Standard,Blade Runner 2049,2012,"SciFi| futuristic, space ",90,60,"It was alright, nothing special."
1871,35-49,Basic,Ex Machina,2021,"SciFi| futuristic, space ",122,48,Fairly average film.
1926,25-34,Standard,Avatar,2015,"SciFi| futuristic, space ",65,64,"Not bad, but wouldn't watch it twice."
2125,25-34,Premium,Titanic,2012,Romance; romantic-comedy|,97,83,Absolutely fantastic performance from the lead.
1582,25-34,Standard,Step Brothers,2024,"Comedy, lighthearted | family",108,49,"Not bad, but wouldn't watch it twice."
2260,25-34,Basic,Titanic,2012,Romance; romantic-comedy|,78,70,Fairly average film.
1617,50+,Standard,Hereditary,2016,"Horror; terrifying, suspense",98,76,"A nightmare film, thoroughly gripping."
1799,35-49,Standard,The Shawshank Redemption,2018,"Drama ; emotional, critically-acclaimed",130,78,"Really marvellous film, highly recommend giving it a watch."
177,35-49,Premium,Bridesmaids,2017,"Comedy, lighthearted | family",133,72,Thought it was cracking overall.
807,35-49,Standard,The Matrix,2021,"SciFi| futuristic, space ",95,75,Absolutely brilliant performance from the lead.
1795,50+,Standard,Get Out,2016,"Horror; terrifying, suspense",93,61,"Not genuinely scary at all, bits of it were just poor"
983,25-34,Standard,Whiplash,2016,"Drama ; emotional, critically-acclaimed",106,41,Fairly average film.
2143,18-24,Basic,Anchorman,2016,"Comedy, lighthearted | family",90,50,"Not bad, but wouldn't watch it twice."
1693,18-24,Standard,The Matrix,2021,"SciFi| futuristic, space ",96,62,"Not bad, but wouldn't watch it twice."
640,35-49,Basic,Spider-Man: Into the Spider-Verse,2015,"Animation, kids, family ",169,67,"Not bad, but wouldn't watch it twice."
1818,35-49,Basic,The Grand Budapest Hotel,2022,"Comedy, lighthearted | family",79,67,"It was alright, nothing special."
1598,18-24,Standard,Shaun of the Dead,2014,"Comedy, lighthearted | family",80,62,Fairly average film.
608,35-49,Basic,The Shining,2010,"Horror; terrifying, suspense",87,97,Properly frightening jumping out of my seat.
2408,25-34,Basic,The Social Network,2017,"Drama ; emotional, critically-acclaimed",156,82,"Really spot-on film, highly recommend giving it a watch."
1949,50+,Standard,Spirited Away,2022,"Animation, kids, family ",99,61,Fairly average film.
1119,35-49,Standard,Inception,2017,"SciFi| futuristic, space ",122,83,Thought it was brilliant overall.
351,35-49,Basic,The Grand Budapest Hotel,2022,"Comedy, lighthearted | family",134,86,Thought it was brilliant overall.
1779,25-34,Premium,March of the Penguins,2010,"Documentary| real-world, informative",115,72,Absolutely cracking performance from the lead.
303,18-24,Basic,The Social Network,2017,"Drama ; emotional, critically-acclaimed",126,48,Fairly average film.
682,35-49,Premium,The Shawshank Redemption,2018,"Drama ; emotional, critically-acclaimed",103,58,Fairly average film.
1169,25-34,Standard,Jiro Dreams of Sushi,2015,"Documentary| real-world, informative",128,73,"Really fantastic film, highly recommend giving it a watch."
2145,25-34,Premium,Parasite,2018,"Drama ; emotional, critically-acclaimed",101,72,Absolutely cracking performance from the lead.
2488,35-49,Premium,Hereditary,2016,"Horror; terrifying, suspense",118,100,Properly scary jumping out of my seat.
115,35-49,Premium,Ex Machina,2021,"SciFi| futuristic, space ",117,63,"It was alright, nothing special."
1731,35-49,Premium,Parasite,2018,"Drama ; emotional, critically-acclaimed",94,77,Absolutely lovely performance from the lead.
234,35-49,Standard,Blade Runner 2049,2012,"SciFi| futuristic, space ",149,61,"It was alright, nothing special."
1442,25-34,Basic,Forrest Gump,2011,"Drama ; emotional, critically-acclaimed",176,58,Fairly average film.
262,50+,Standard,Schindler's List,2011,"Drama ; emotional, critically-acclaimed",86,78,Thought it was spot-on overall.
1919,18-24,Basic,Parasite,2018,"Drama ; emotional, critically-acclaimed",77,87,Thought it was lovely overall.
2084,25-34,Basic,Bridesmaids,2017,"Comedy, lighthearted | family",79,73,"Really cracking film, highly recommend giving it a watch."
3,18-24,Standard,Die Hard,2022,Action| Thriller; explosion-heavy,64,82,Absolutely fantastic performance from the lead.
1121,25-34,Basic,The Hangover,2016,"Comedy, lighthearted | family",76,69,Fairly average film.
90,50+,Standard,The Social Network,2017,"Drama ; emotional, critically-acclaimed",99,82,Thought it was cracking overall.
334,35-49,Basic,Moonlight,2015,"Drama ; emotional, critically-acclaimed",93,75,Thought it was lovely overall.
688,50+,Standard,Forrest Gump,2011,"Drama ; emotional, critically-acclaimed",106,39,I thought the plot was poor to be fair.
924,35-49,Premium,Avatar,2015,"SciFi| futuristic, space ",154,68,"Not bad, but wouldn't watch it twice."
2349,25-34,Standard,Inception,2017,"SciFi| futuristic, space ",124,57,"Not bad, but wouldn't watch it twice."
1695,25-34,Basic,The Martian,2015,"SciFi| futuristic, space ",54,90,"Really fantastic film, highly recommend giving it a watch."
1492,18-24,Standard,Dune,2015,"SciFi| futuristic, space ",77,82,Thought it was fantastic overall.
1537,25-34,Basic,Inception,2017,"SciFi| futuristic, space ",137,80,"Really spot-on film, highly recommend giving it a watch."
2042,18-24,Standard,Terminator 2,2024,Action| Thriller; explosion-heavy,202,69,"It was alright, nothing special."
1976,25-34,Premium,Interstellar,2020,"SciFi| futuristic, space ",91,62,Fairly average film.
2382,18-24,Standard,Dune,2015,"SciFi| futuristic, space ",72,63,Fairly average film.
305,50+,Basic,Anchorman,2016,"Comedy, lighthearted | family",99,77,Absolutely spot-on performance from the lead.
1911,18-24,Basic,Hereditary,2016,"Horror; terrifying, suspense",87,55,"Not genuinely scary at all, bits of it were just dire"
555,35-49,Basic,Titanic,2012,Romance; romantic-comedy|,125,71,"Really cracking film, highly recommend giving it a watch."
2059,25-34,Standard,A Quiet Place,2022,"Horror; terrifying, suspense",103,74,"Not genuinely scary at all, bits of it were just appalling"
1715,35-49,Premium,La La Land,2022,Romance; romantic-comedy|,55,82,Thought it was brilliant overall.
509,18-24,Standard,Blade Runner 2049,2012,"SciFi| futuristic, space ",114,58,"It was alright, nothing special."
1443,50+,Basic,Inception,2017,"SciFi| futuristic, space ",88,70,"It was alright, nothing special."
1166,25-34,Basic,Shaun of the Dead,2014,"Comedy, lighthearted | family",63,66,Fairly average film.
1787,18-24,Basic,Little Women,2014,"Drama ; emotional, critically-acclaimed",142,72,Absolutely lovely performance from the lead.
879,35-49,Standard,The Social Network,2017,"Drama ; emotional, critically-acclaimed",151,85,Absolutely cracking performance from the lead.
1039,25-34,Basic,Mean Girls,2016,"Comedy, lighthearted | family",138,54,"Not bad, but wouldn't watch it twice."
135,35-49,Premium,Arrival,2019,"SciFi| futuristic, space ",130,94,Absolutely marvellous performance from the lead.
154,18-24,Standard,Spider-Man: Into the Spider-Verse,2015,"Animation, kids, family ",57,67,Fairly average film.
683,25-34,Basic,Interstellar,2020,"SciFi| futuristic, space ",123,69,"It was alright, nothing special."
530,35-49,Basic,Ex Machina,2021,"SciFi| futuristic, space ",78,52,Fairly average film.
1970,25-34,Standard,La La Land,2022,Romance; romantic-comedy|,114,85,Absolutely spot-on performance from the lead.
1183,50+,Standard,Blade Runner 2049,2012,"SciFi| futuristic, space ",88,86,"Really lovely film, highly recommend giving it a watch."
250,18-24,Basic,Hot Fuzz,2025,"Comedy, lighthearted | family",144,71,Absolutely marvellous performance from the lead.
1438,35-49,Standard,Alien,2017,"Horror; terrifying, suspense",107,90,Properly frightening jumping out of my seat.
605,35-49,Basic,Shaun of the Dead,2014,"Comedy, lighthearted | family",122,34,What a appalling waste of an evening.
1385,35-49,Standard,A Quiet Place,2022,"Horror; terrifying, suspense",99,86,"A chilling film, thoroughly gripping."
1306,35-49,Standard,Jurassic Park,2018,"SciFi| futuristic, space ",63,51,"It was alright, nothing special."
1407,18-24,Basic,The Martian,2015,"SciFi| futuristic, space ",90,83,Absolutely cracking performance from the lead.
1041,18-24,Basic,Knives Out,2025,"Comedy, lighthearted | family",112,61,Fairly average film.
829,35-49,Premium,Moonlight,2015,"Drama ; emotional, critically-acclaimed",104,41,Fairly average film.
377,35-49,Basic,March of the Penguins,2010,"Documentary| real-world, informative",98,64,"Not bad, but wouldn't watch it twice."
493,25-34,Basic,The Dark Knight,2013,Action| Thriller; explosion-heavy,77,74,Thought it was cracking overall.
1025,35-49,Basic,The Hangover,2016,"Comedy, lighthearted | family",107,80,"Really superb film, highly recommend giving it a watch."
693,50+,Basic,Ex Machina,2021,"SciFi| futuristic, space ",87,75,Absolutely fantastic performance from the lead.
1759,35-49,Basic,Hereditary,2016,"Horror; terrifying, suspense",94,72,"Not genuinely scary at all, bits of it were just dreadful"
663,18-24,Standard,Gladiator,2016,Action| Thriller; explosion-heavy,86,55,"It was alright, nothing special."
1350,35-49,Premium,Nomadland,2023,"Drama ; emotional, critically-acclaimed",101,39,Honestly quite shocking and a bit of a let-down.
454,35-49,Standard,Forrest Gump,2011,"Drama ; emotional, critically-acclaimed",115,50,"It was alright, nothing special."
1557,35-49,Premium,Jiro Dreams of Sushi,2015,"Documentary| real-world, informative",111,64,Fairly average film.
2440,18-24,Premium,Forrest Gump,2011,"Drama ; emotional, critically-acclaimed",73,86,Thought it was spot-on overall.
1402,35-49,Premium,Arrival,2019,"SciFi| futuristic, space ",112,93,Thought it was brilliant overall.
42,35-49,Basic,Whiplash,2016,"Drama ; emotional, critically-acclaimed",113,86,Absolutely superb performance from the lead.
274,25-34,Basic,Free Solo,2023,"Documentary| real-world, informative",119,93,Thought it was lovely overall.
1797,35-49,Basic,The Dark Knight,2013,Action| Thriller; explosion-heavy,76,79,"Really marvellous film, highly recommend giving it a watch."
1756,18-24,Standard,The Dark Knight,2013,Action| Thriller; explosion-heavy,173,76,Absolutely marvellous performance from the lead.
932,50+,Basic,A Quiet Place,2022,"Horror; terrifying, suspense",93,99,"A frightening film, thoroughly gripping."
1289,25-34,Basic,Mad Max: Fury Road,2014,Action| Thriller; explosion-heavy,116,57,"It was alright, nothing special."
450,35-49,Basic,Mean Girls,2016,"Comedy, lighthearted | family",116,93,Thought it was marvellous overall.
1414,35-49,Basic,The Martian,2015,"SciFi| futuristic, space ",77,92,Absolutely cracking performance from the lead.
900,35-49,Premium,Forrest Gump,2011,"Drama ; emotional, critically-acclaimed",123,58,Fairly average film.
487,25-34,Standard,Blade Runner 2049,2012,"SciFi| futuristic, space ",163,67,Fairly average film.
601,50+,Basic,The Godfather,2020,"Drama ; emotional, critically-acclaimed",86,67,"Not bad, but wouldn't watch it twice."
1977,25-34,Premium,Spirited Away,2022,"Animation, kids, family ",80,70,"It was alright, nothing special."
19,35-49,Basic,Interstellar,2020,"SciFi| futuristic, space ",87,78,Thought it was lovely overall.
2096,50+,Basic,The Act of Killing,2024,"Documentary| real-world, informative",89,76,"Really marvellous film, highly recommend giving it a watch."
80,35-49,Premium,March of the Penguins,2010,"Documentary| real-world, informative",117,50,"It was alright, nothing special."
1713,35-49,Premium,A Quiet Place,2022,"Horror; terrifying, suspense",111,88,"A nightmare film, thoroughly gripping."
1110,25-34,Standard,The Matrix,2021,"SciFi| futuristic, space ",100,62,"Not bad, but wouldn't watch it twice."
1639,18-24,Standard,Knives Out,2025,"Comedy, lighthearted | family",87,79,Thought it was fantastic overall.
522,18-24,Standard,La La Land,2022,Romance; romantic-comedy|,95,78,Thought it was brilliant overall.
1121,25-34,Basic,Spirited Away,2022,"Animation, kids, family ",133,76,"Really cracking film, highly recommend giving it a watch."
1692,25-34,Standard,March of the Penguins,2010,"Documentary| real-world, informative",89,60,"Not bad, but wouldn't watch it twice."
1176,35-49,Standard,March of the Penguins,2010,"Documentary| real-world, informative",113,76,Absolutely brilliant performance from the lead.
1598,18-24,Standard,Jurassic Park,2018,"SciFi| futuristic, space ",120,57,Fairly average film.
146,18-24,Basic,The Martian,2015,"SciFi| futuristic, space ",173,60,"Not bad, but wouldn't watch it twice."
1258,25-34,Basic,Knives Out,2025,"Comedy, lighthearted | family",107,62,"Not bad, but wouldn't watch it twice."
828,35-49,Basic,The Social Network,2017,"Drama ; emotional, critically-acclaimed",67,76,Absolutely fantastic performance from the lead.
1265,35-49,Basic,Bridesmaids,2017,"Comedy, lighthearted | family",104,65,"Not bad, but wouldn't watch it twice."
666,35-49,Standard,The Godfather,2020,"Drama ; emotional, critically-acclaimed",127,55,Fairly average film.
682,35-49,Premium,Free Solo,2023,"Documentary| real-world, informative",110,56,"Not bad, but wouldn't watch it twice."
924,35-49,Premium,The Hangover,2016,"Comedy, lighthearted | family",115,79,Absolutely smashing performance from the lead.
29,35-49,Premium,Interstellar,2020,"SciFi| futuristic, space ",122,49,"Not bad, but wouldn't watch it twice."
2441,25-34,Premium,Bridesmaids,2017,"Comedy, lighthearted | family",92,59,"Not bad, but wouldn't watch it twice."
2063,25-34,Basic,Knives Out,2025,"Comedy, lighthearted | family",64,71,Absolutely smashing performance from the lead.
265,50+,Basic,Free Solo,2023,"Documentary| real-world, informative",85,68,"Not bad, but wouldn't watch it twice."
2130,25-34,Standard,Ex Machina,2021,"SciFi| futuristic, space ",128,48,Fairly average film.
1628,35-49,Basic,March of the Penguins,2010,"Documentary| real-world, informative",116,62,Fairly average film.
2140,18-24,Standard,Die Hard,2022,Action| Thriller; explosion-heavy,112,67,"Not bad, but wouldn't watch it twice."
636,18-24,Standard,Parasite,2018,"Drama ; emotional, critically-acclaimed",22,75,Absolutely spot-on performance from the lead.
2067,35-49,Premium,Little Women,2014,"Drama ; emotional, critically-acclaimed",108,91,Absolutely marvellous performance from the lead.
1732,35-49,Standard,Toy Story,2019,"Animation, kids, family ",123,77,Absolutely brilliant performance from the lead.
1021,18-24,Premium,Anchorman,2016,"Comedy, lighthearted | family",140,84,Absolutely brilliant performance from the lead.
2418,35-49,Standard,March of the Penguins,2010,"Documentary| real-world, informative",83,70,"It was alright, nothing special."
998,25-34,Standard,Titanic,2012,Romance; romantic-comedy|,94,71,"Really superb film, highly recommend giving it a watch."
1200,35-49,Standard,Nomadland,2023,"Drama ; emotional, critically-acclaimed",106,78,Thought it was fantastic overall.
1531,35-49,Premium,Nomadland,2023,"Drama ; emotional, critically-acclaimed",154,74,Thought it was superb overall.
769,50+,Basic,Titanic,2012,Romance; romantic-comedy|,108,74,"Really spot-on film, highly recommend giving it a watch."
727,25-34,Basic,Hot Fuzz,2025,"Comedy, lighthearted | family",77,72,"Really marvellous film, highly recommend giving it a watch."
982,50+,Standard,Arrival,2019,"SciFi| futuristic, space ",129,86,Thought it was marvellous overall.
2337,25-34,Basic,Mad Max: Fury Road,2014,Action| Thriller; explosion-heavy,160,79,Absolutely lovely performance from the lead.
474,25-34,Standard,Alien,2017,"Horror; terrifying, suspense",168,81,"A nightmare film, thoroughly gripping."
115,35-49,Premium,Superbad,2011,"Comedy, lighthearted | family",112,49,Fairly average film.
1085,35-49,Premium,Dune,2015,"SciFi| futuristic, space ",110,80,Absolutely cracking performance from the lead.
1406,35-49,Premium,Hot Fuzz,2025,"Comedy, lighthearted | family",125,63,"It was alright, nothing special."
245,35-49,Standard,Spider-Man: Into the Spider-Verse,2015,"Animation, kids, family ",100,77,Absolutely spot-on performance from the lead.
507,25-34,Basic,Spirited Away,2022,"Animation, kids, family ",120,33,Honestly quite shocking and a bit of a let-down.
29,35-49,Premium,The Act of Killing,2024,"Documentary| real-world, informative",81,60,Fairly average film.
2370,35-49,Basic,The Matrix,2021,"SciFi| futuristic, space ",99,51,Fairly average film.
1455,35-49,Basic,The Act of Killing,2024,"Documentary| real-world, informative",114,51,Fairly average film.
100,35-49,Basic,Blade Runner 2049,2012,"SciFi| futuristic, space ",55,67,Fairly average film.
1805,18-24,Basic,The Martian,2015,"SciFi| futuristic, space ",107,49,"It was alright, nothing special."
1221,50+,Basic,Superbad,2011,"Comedy, lighthearted | family",107,74,Absolutely brilliant performance from the lead.
1506,50+,Basic,Little Women,2014,"Drama ; emotional, critically-acclaimed",98,61,Fairly average film.
1504,35-49,Premium,Toy Story,2019,"Animation, kids, family ",121,83,Absolutely fantastic performance from the lead.
2372,25-34,Premium,Shaun of the Dead,2014,"Comedy, lighthearted | family",107,87,Absolutely fantastic performance from the lead.
142,35-49,Basic,Forrest Gump,2011,"Drama ; emotional, critically-acclaimed",117,79,Thought it was superb overall.
1527,25-34,Premium,The Act of Killing,2024,"Documentary| real-world, informative",109,90,Thought it was brilliant overall.
2275,50+,Premium,The Dark Knight,2013,Action| Thriller; explosion-heavy,96,49,Fairly average film.
1523,50+,Premium,My Octopus Teacher,2017,"Documentary| real-world, informative",101,77,Thought it was brilliant overall.
1674,25-34,Basic,The Act of Killing,2024,"Documentary| real-world, informative",74,49,"It was alright, nothing special."
2120,18-24,Basic,The Dark Knight,2013,Action| Thriller; explosion-heavy,120,82,"Really superb film, highly recommend giving it a watch."
983,25-34,Standard,Schindler's List,2011,"Drama ; emotional, critically-acclaimed",93,67,"It was alright, nothing special."
1210,25-34,Basic,Get Out,2016,"Horror; terrifying, suspense",77,75,"Not genuinely scary at all, bits of it were just rubbish"
791,25-34,Standard,Moonlight,2015,"Drama ; emotional, critically-acclaimed",102,81,Thought it was lovely overall.
442,35-49,Standard,The Martian,2015,"SciFi| futuristic, space ",98,84,"Really smashing film, highly recommend giving it a watch."
2343,35-49,Basic,Get Out,2016,"Horror; terrifying, suspense",125,84,"A horrific film, thoroughly gripping."
795,35-49,Basic,Terminator 2,2024,Action| Thriller; explosion-heavy,82,66,"Not bad, but wouldn't watch it twice."
1787,18-24,Basic,The Martian,2015,"SciFi| futuristic, space ",134,49,Fairly average film.
2122,25-34,Basic,Get Out,2016,"Horror; terrifying, suspense",85,76,This was absolutely horrific could not sleep!
947,18-24,Basic,The Hangover,2016,"Comedy, lighthearted | family",146,75,"Really lovely film, highly recommend giving it a watch."
540,25-34,Basic,Hot Fuzz,2025,"Comedy, lighthearted | family",79,82,"Really brilliant film, highly recommend giving it a watch."
660,35-49,Premium,Spirited Away,2022,"Animation, kids, family ",102,79,"Really spot-on film, highly recommend giving it a watch."
1376,35-49,Premium,The Act of Killing,2024,"Documentary| real-world, informative",102,80,Thought it was smashing overall.
92,35-49,Basic,La La Land,2022,Romance; romantic-comedy|,103,85,Absolutely lovely performance from the lead.
911,25-34,Basic,The Dark Knight,2013,Action| Thriller; explosion-heavy,101,64,"Not bad, but wouldn't watch it twice."
1091,18-24,Standard,The Matrix,2021,"SciFi| futuristic, space ",100,100,Absolutely marvellous performance from the lead.
346,35-49,Basic,Mean Girls,2016,"Comedy, lighthearted | family",103,46,"It was alright, nothing special."
2037,25-34,Basic,Gladiator,2016,Action| Thriller; explosion-heavy,135,44,"Not bad, but wouldn't watch it twice."
2443,50+,Basic,Get Out,2016,"Horror; terrifying, suspense",110,69,"Not genuinely scary at all, bits of it were just abysmal"
378,35-49,Standard,Titanic,2012,Romance; romantic-comedy|,92,71,"Really lovely film, highly recommend giving it a watch."
1715,35-49,Premium,Interstellar,2020,"SciFi| futuristic, space ",116,55,Fairly average film.
397,35-49,Standard,Get Out,2016,"Horror; terrifying, suspense",90,77,This was absolutely terrifying could not sleep!
1100,18-24,Basic,The Matrix,2021,"SciFi| futuristic, space ",105,74,Thought it was cracking overall.
224,25-34,Premium,Whiplash,2016,"Drama ; emotional, critically-acclaimed",130,69,Fairly average film.
691,35-49,Standard,The Martian,2015,"SciFi| futuristic, space ",74,73,Thought it was lovely overall.
318,18-24,Basic,The Hangover,2016,"Comedy, lighthearted | family",123,100,Thought it was lovely overall.
1864,35-49,Basic,The Godfather,2020,"Drama ; emotional, critically-acclaimed",133,72,"Really cracking film, highly recommend giving it a watch."
335,35-49,Basic,Spider-Man: Into the Spider-Verse,2015,"Animation, kids, family ",151,82,Absolutely lovely performance from the lead.
200,25-34,Standard,Spider-Man: Into the Spider-Verse,2015,"Animation, kids, family ",107,59,Fairly average film.
1618,18-24,Premium,The Shawshank Redemption,2018,"Drama ; emotional, critically-acclaimed",119,64,"It was alright, nothing special."
2034,25-34,Basic,Anchorman,2016,"Comedy, lighthearted | family",101,75,Absolutely cracking performance from the lead.
2094,50+,Basic,Little Women,2014,"Drama ; emotional, critically-acclaimed",107,41,"Not bad, but wouldn't watch it twice."
2163,18-24,Basic,The Act of Killing,2024,"Documentary| real-world, informative",175,87,"Really brilliant film, highly recommend giving it a watch."
1657,25-34,Premium,Moonlight,2015,"Drama ; emotional, critically-acclaimed",117,62,Fairly average film.
1870,35-49,Premium,Terminator 2,2024,Action| Thriller; explosion-heavy,137,87,"Really cracking film, highly recommend giving it a watch."
492,25-34,Standard,Arrival,2019,"SciFi| futuristic, space ",120,51,"It was alright, nothing special."
1018,25-34,Basic,Hot Fuzz,2025,"Comedy, lighthearted | family",102,81,"Really spot-on film, highly recommend giving it a watch."
2352,18-24,Standard,Jiro Dreams of Sushi,2015,"Documentary| real-world, informative",144,71,Absolutely cracking performance from the lead.
1909,35-49,Standard,The Shawshank Redemption,2018,"Drama ; emotional, critically-acclaimed",131,48,Fairly average film.
1475,25-34,Basic,Nomadland,2023,"Drama ; emotional, critically-acclaimed",88,65,"Not bad, but wouldn't watch it twice."
348,25-34,Standard,Free Solo,2023,"Documentary| real-world, informative",77,89,"Really cracking film, highly recommend giving it a watch."
1537,25-34,Basic,Shaun of the Dead,2014,"Comedy, lighthearted | family",112,100,Absolutely smashing performance from the lead.
533,25-34,Standard,The Social Network,2017,"Drama ; emotional, critically-acclaimed",118,74,Thought it was brilliant overall.
214,35-49,Basic,Arrival,2019,"SciFi| futuristic, space ",92,82,Absolutely brilliant performance from the lead.
115,35-49,Premium,Superbad,2011,"Comedy, lighthearted | family",47,76,"Really marvellous film, highly recommend giving it a watch."
1849,50+,Standard,Arrival,2019,"SciFi| futuristic, space ",100,63,Fairly average film.
1090,50+,Premium,La La Land,2022,Romance; romantic-comedy|,89,48,"It was alright, nothing special."
283,35-49,Standard,Toy Story,2019,"Animation, kids, family ",129,69,Fairly average film.
1733,25-34,Standard,Anchorman,2016,"Comedy, lighthearted | family",121,85,Absolutely cracking performance from the lead.
946,50+,Basic,The Act of Killing,2024,"Documentary| real-world, informative",87,90,Thought it was marvellous overall.
